,Users,Method,Figure,item1,item2,item3,item4,item5,item6,item7,Performance
14,p1,REFLEX,bear,3.6,14.9,50.4,68.0,71.0,74.0,77.2,0.6964761904761905
15,p2,REFLEX,bear,4.6,17.9,22.0,27.5,43.9,46.6,49.3,0.823952380952381
16,p3,REFLEX,bear,4.5,9.8,22.7,30.7,40.7,45.2,48.4,0.8328095238095238
17,p4,REFLEX,bear,4.5,32.0,66.2,74.3,95.0,101.0,109.3,0.5948571428571429
18,p5,REFLEX,bear,4.5,9.0,19.1,26.0,31.9,35.3,39.0,0.8637619047619047
19,p6,REFLEX,bear,29.1,36.5,44.6,50.1,56.2,61.0,66.1,0.7180952380952381
20,p7,REFLEX,bear,4.1,7.9,11.2,13.5,17.0,21.0,23.0,0.9198571428571428
21,p8,REFLEX,bear,3.8,9.8,15.9,21.4,29.8,35.0,39.1,0.873
22,p11,REFLEX,bear,6.1,13.1,20.4,24.0,27.4,33.6,38.3,0.866
23,p13,REFLEX,bear,6.7,21.2,29.4,41.5,50.1,54.7,60.7,0.7803809523809524
24,p14,REFLEX,bear,3.5,6.8,12.4,15.1,17.8,20.5,25.0,0.9172857142857143
25,p15,REFLEX,bear,4.2,9.3,20.1,28.0,38.0,42.7,45.4,0.8448571428571429
26,p16,REFLEX,bear,4.8,8.5,10.1,13.5,17.9,20.9,23.1,0.9191904761904762
27,p17,REFLEX,bear,5.1,7.0,10.1,13.4,16.8,20.2,24.7,0.9215238095238095
56,p1,REFLEX,camel,6.6,10.0,20.0,25.2,51.5,54.9,63.8,0.8125714285714286
57,p2,REFLEX,camel,14.0,18.6,32.9,39.7,42.1,44.9,48.5,0.8005238095238095
58,p3,REFLEX,camel,2.8,21.1,27.7,33.4,39.7,84.5,86.1,0.761095238095238
59,p4,REFLEX,camel,28.9,66.4,121.1,136.5,150.0,150.0,150.0,0.32052380952380943
60,p5,REFLEX,camel,6.5,13.5,19.4,25.7,30.3,39.6,47.5,0.8519047619047619
61,p6,REFLEX,camel,4.9,12.7,22.9,38.2,46.1,119.6,128.7,0.7082857142857143
62,p7,REFLEX,camel,5.3,13.1,22.9,29.3,33.0,35.4,38.7,0.8517142857142858
63,p8,REFLEX,camel,8.6,17.8,25.5,37.2,43.2,56.5,67.5,0.7921428571428571
64,p11,REFLEX,camel,5.6,7.6,14.2,20.3,27.8,31.6,53.0,0.8754285714285714
65,p13,REFLEX,camel,11.1,18.7,44.0,53.6,97.4,107.7,114.6,0.634047619047619
66,p14,REFLEX,camel,6.4,9.0,12.1,15.5,15.6,20.6,25.7,0.9153809523809524
67,p15,REFLEX,camel,4.3,13.6,25.6,38.6,58.0,74.8,81.0,0.7588095238095238
68,p16,REFLEX,camel,4.0,9.9,14.2,18.3,23.7,27.7,31.0,0.894
69,p17,REFLEX,camel,8.6,15.3,15.3,15.3,21.0,28.0,34.6,0.8890476190476191
98,p1,REFLEX,cat,9.1,13.6,17.8,23.6,29.0,45.0,49.3,0.8493333333333334
99,p2,REFLEX,cat,4.8,10.2,18.9,38.4,41.5,46.5,49.1,0.8262380952380952
100,p3,REFLEX,cat,10.3,14.7,16.9,35.7,42.5,46.6,50.5,0.8220952380952381
101,p4,REFLEX,cat,6.6,16.9,21.7,31.8,38.5,57.7,89.6,0.7955238095238095
102,p5,REFLEX,cat,5.3,10.6,15.5,20.2,25.8,37.0,40.1,0.8744761904761904
103,p6,REFLEX,cat,10.0,15.1,28.0,32.9,37.1,42.2,47.2,0.8248571428571428
104,p7,REFLEX,cat,4.2,6.2,8.3,10.5,15.8,25.7,30.0,0.9203809523809524
105,p8,REFLEX,cat,7.7,10.8,14.9,19.7,26.1,31.5,37.9,0.8801904761904762
106,p11,REFLEX,cat,6.1,10.0,13.7,30.4,34.2,39.1,41.9,0.8558095238095238
107,p13,REFLEX,cat,5.0,9.3,12.2,35.5,38.2,42.5,46.1,0.8445238095238095
108,p14,REFLEX,cat,6.6,10.1,12.8,15.1,16.8,18.5,21.0,0.9170476190476191
109,p15,REFLEX,cat,6.5,12.7,22.0,32.5,40.8,54.8,62.6,0.8120476190476191
110,p16,REFLEX,cat,6.4,9.0,11.3,13.9,16.7,18.5,21.3,0.9207142857142857
111,p17,REFLEX,cat,10.1,11.8,14.6,22.4,25.9,27.9,32.2,0.8821428571428571
140,p1,REFLEX,dog,6.3,25.6,48.9,56.0,62.7,65.6,101.5,0.7021904761904763
141,p2,REFLEX,dog,8.2,10.4,12.2,14.7,17.9,20.3,24.0,0.9127619047619048
142,p3,REFLEX,dog,6.1,8.1,11.0,16.2,20.0,24.7,32.1,0.9056190476190477
143,p4,REFLEX,dog,19.9,28.7,50.9,68.5,109.4,150.0,150.0,0.531
144,p5,REFLEX,dog,10.8,17.7,24.8,33.8,37.9,42.9,47.8,0.8224761904761905
145,p6,REFLEX,dog,12.2,24.3,30.1,37.2,46.5,55.4,72.3,0.7754761904761904
146,p7,REFLEX,dog,6.4,9.1,12.8,16.9,21.4,28.6,30.0,0.8980952380952381
147,p8,REFLEX,dog,5.2,10.9,16.8,24.6,31.4,34.9,39.0,0.866
148,p11,REFLEX,dog,46.5,50.1,53.9,62.4,67.2,124.3,127.8,0.5761428571428571
149,p13,REFLEX,dog,6.8,15.0,20.3,27.7,33.9,41.2,45.0,0.8438095238095238
150,p14,REFLEX,dog,5.6,7.5,9.7,14.0,17.6,21.0,23.1,0.9198571428571428
151,p15,REFLEX,dog,11.4,22.1,28.0,34.6,40.8,45.5,52.8,0.8065714285714286
152,p16,REFLEX,dog,3.9,8.2,12.3,15.1,20.6,20.6,23.2,0.913952380952381
153,p17,REFLEX,dog,7.8,11.9,16.8,21.8,26.4,30.7,34.8,0.8772380952380953
182,p1,REFLEX,duck,4.2,7.6,14.4,49.6,65.9,72.8,75.0,0.762
183,p2,REFLEX,duck,11.7,15.8,20.5,24.3,29.4,31.9,34.8,0.8617619047619047
184,p3,REFLEX,duck,5.8,9.3,17.5,22.7,30.5,34.8,38.4,0.8696190476190476
185,p4,REFLEX,duck,13.9,83.0,110.0,125.9,135.2,145.3,150.0,0.3510952380952381
186,p5,REFLEX,duck,8.2,14.0,66.7,121.5,126.4,131.4,135.2,0.4936190476190476
187,p6,REFLEX,duck,4.5,10.0,18.5,27.2,33.1,43.0,46.0,0.8504285714285714
188,p7,REFLEX,duck,5.5,10.5,13.4,17.5,21.2,23.9,27.1,0.9020952380952381
189,p8,REFLEX,duck,5.2,10.2,17.5,23.9,31.7,42.0,46.3,0.8561428571428571
190,p11,REFLEX,duck,4.3,8.3,14.0,29.5,36.6,45.4,49.3,0.847047619047619
191,p13,REFLEX,duck,11.2,19.7,35.5,49.9,56.0,60.4,70.2,0.7502857142857143
192,p14,REFLEX,duck,5.3,8.5,18.4,21.6,26.1,31.1,32.9,0.8811428571428571
193,p15,REFLEX,duck,5.8,12.7,21.4,92.8,111.6,116.3,124.7,0.599952380952381
194,p16,REFLEX,duck,4.1,6.9,11.8,13.7,18.1,20.8,23.7,0.9188571428571428
195,p17,REFLEX,duck,6.2,9.4,15.1,26.2,28.5,30.4,36.9,0.8750952380952381
224,p1,REFLEX,fish,14.4,17.6,28.1,36.9,69.9,72.2,79.4,0.7413333333333333
225,p2,REFLEX,fish,4.7,7.2,16.5,19.2,21.8,25.1,27.5,0.8991428571428571
226,p3,REFLEX,fish,4.9,8.3,14.0,30.9,34.9,69.7,80.3,0.8091428571428572
227,p4,REFLEX,fish,4.6,10.3,104.9,119.7,150.0,150.0,150.0,0.41695238095238096
228,p5,REFLEX,fish,5.3,10.0,14.1,14.3,14.8,20.6,27.3,0.9141904761904762
229,p6,REFLEX,fish,8.1,14.1,31.3,37.8,42.9,49.1,54.3,0.8034285714285714
230,p7,REFLEX,fish,4.6,6.9,10.0,13.0,15.5,18.4,21.6,0.9267619047619048
231,p8,REFLEX,fish,4.8,7.8,15.3,21.5,25.3,29.1,33.5,0.8874761904761905
232,p11,REFLEX,fish,3.9,6.2,13.7,16.0,19.2,21.9,25.5,0.9126666666666666
233,p13,REFLEX,fish,3.4,10.1,19.3,29.3,35.0,42.5,47.8,0.8459047619047619
234,p14,REFLEX,fish,2.2,5.4,33.1,38.1,41.4,44.3,46.5,0.8222380952380952
235,p15,REFLEX,fish,6.5,10.0,29.0,36.4,44.7,51.0,54.9,0.8078095238095238
236,p16,REFLEX,fish,2.6,5.2,9.1,13.2,17.2,20.9,24.5,0.9246190476190477
237,p17,REFLEX,fish,5.1,8.2,13.4,16.4,19.5,27.0,32.3,0.9017142857142857
266,p1,REFLEX,horse,6.0,11.7,18.8,25.4,51.5,71.6,80.0,0.7857
267,p2,REFLEX,horse,9.3,11.3,14.7,17.1,23.2,26.8,32.5,0.887
268,p3,REFLEX,horse,12.9,19.1,23.3,30.0,34.8,39.1,39.9,0.8294
269,p4,REFLEX,horse,6.0,10.6,41.6,66.0,83.2,123.7,136.5,0.6197
270,p5,REFLEX,horse,4.3,8.9,14.2,18.5,29.5,39.9,43.9,0.8693
271,p6,REFLEX,horse,33.5,55.3,64.9,85.8,94.8,102.3,108.4,0.5326
272,p7,REFLEX,horse,5.5,9.7,15.4,19.2,22.7,27.4,31.1,0.89
273,p8,REFLEX,horse,8.6,23.8,49.2,59.1,69.9,76.8,81.9,0.6873
274,p11,REFLEX,horse,5.2,12.2,17.9,30.3,37.4,54.3,59.1,0.822
275,p13,REFLEX,horse,19.6,24.1,33.7,39.2,51.4,57.3,66.6,0.7537
276,p14,REFLEX,horse,10.4,13.1,16.3,30.2,35.7,41.6,45.7,0.838
277,p15,REFLEX,horse,15.5,24.7,34.4,34.4,57.4,66.4,73.4,0.7433
278,p16,REFLEX,horse,5.0,8.7,11.8,15.0,19.4,23.3,26.2,0.9083
279,p17,REFLEX,horse,10.0,13.3,17.7,22.5,27.8,35.4,40.8,0.8599
308,p1,REFLEX,kangaroo,23.0,36.9,46.5,51.0,62.9,65.1,66.5,0.6965
309,p2,REFLEX,kangaroo,7.8,10.8,14.7,22.4,25.1,27.2,29.6,0.883
310,p3,REFLEX,kangaroo,7.3,12.2,19.8,25.3,44.1,50.1,54.8,0.8227
311,p4,REFLEX,kangaroo,39.6,92.6,117.7,150.0,150.0,150.0,150.0,0.6197
312,p5,REFLEX,kangaroo,8.5,22.9,36.0,43.4,49.3,56.0,73.2,0.7593
313,p6,REFLEX,kangaroo,5.9,13.0,31.0,40.2,52.3,62.0,77.3,0.7685
314,p7,REFLEX,kangaroo,7.5,26.5,34.4,38.3,42.0,45.9,50.4,0.7907
315,p8,REFLEX,kangaroo,1.5,7.7,30.2,50.5,60.2,69.6,84.4,0.7506
316,p11,REFLEX,kangaroo,25.7,44.4,54.5,60.4,66.8,73.6,80.3,0.6519
317,p13,REFLEX,kangaroo,16.9,33.4,42.3,49.4,56.7,62.8,69.7,0.7178
318,p14,REFLEX,kangaroo,5.8,17.2,20.6,24.1,27.3,32.1,36.5,0.8616
319,p15,REFLEX,kangaroo,19.5,30.6,46.1,57.7,65.3,69.4,89.7,0.6824
320,p16,REFLEX,kangaroo,7.9,12.1,15.7,18.5,21.7,23.1,24.2,0.8942
321,p17,REFLEX,kangaroo,21.5,30.6,35.7,51.4,54.7,92.5,114.3,0.6728
350,p1,REFLEX,mouse,3.9,8.3,11.9,16.1,20.6,27.6,31.6,0.9026190476190477
351,p2,REFLEX,mouse,3.3,6.0,8.8,12.9,14.2,18.5,23.7,0.9296190476190476
352,p3,REFLEX,mouse,5.6,7.7,12.2,15.6,18.5,22.0,24.1,0.9134761904761904
353,p4,REFLEX,mouse,10.0,15.9,24.9,29.7,130.9,147.4,150.0,0.5916190476190476
354,p5,REFLEX,mouse,3.6,7.9,24.4,31.1,39.4,52.7,56.8,0.8231428571428572
355,p6,REFLEX,mouse,3.6,8.5,13.5,19.2,22.9,26.1,29.8,0.8981904761904762
356,p7,REFLEX,mouse,4.7,7.5,9.9,12.3,17.2,18.9,21.0,0.9250952380952381
357,p8,REFLEX,mouse,7.0,9.7,13.9,15.3,19.5,25.0,27.9,0.903952380952381
358,p11,REFLEX,mouse,3.1,10.0,38.3,46.2,51.9,57.1,59.9,0.7761904761904762
359,p13,REFLEX,mouse,7.3,11.4,18.9,24.9,31.3,37.7,44.1,0.8572380952380952
360,p14,REFLEX,mouse,6.1,7.8,10.0,16.0,19.6,24.5,27.2,0.909952380952381
361,p15,REFLEX,mouse,2.6,18.9,20.5,27.0,43.6,48.4,67.2,0.8159047619047619
362,p16,REFLEX,mouse,7.5,9.0,10.9,13.5,16.6,20.4,23.5,0.9181904761904762
363,p17,REFLEX,mouse,5.9,8.3,12.7,17.1,20.3,25.1,27.5,0.9045714285714286
392,p1,REFLEX,rabbit,4.3,8.4,30.0,35.4,42.1,59.9,65.5,0.7993333333333333
393,p2,REFLEX,rabbit,4.1,6.5,10.7,15.2,17.5,20.6,22.4,0.9202380952380953
394,p3,REFLEX,rabbit,9.1,14.0,17.4,22.0,25.2,27.8,30.0,0.8800476190476191
395,p4,REFLEX,rabbit,39.3,45.5,57.6,80.9,150.0,150.0,150.0,0.4489047619047619
396,p5,REFLEX,rabbit,3.4,9.0,13.2,20.6,26.3,32.3,38.2,0.8836190476190476
397,p6,REFLEX,rabbit,8.1,27.9,36.7,40.9,60.9,67.2,71.2,0.7397619047619048
398,p7,REFLEX,rabbit,3.6,5.6,11.0,14.4,17.9,21.9,25.5,0.9187142857142857
399,p8,REFLEX,rabbit,4.7,10.5,20.4,28.7,34.7,40.4,48.3,0.8464761904761905
400,p11,REFLEX,rabbit,5.5,9.5,27.8,45.5,57.0,64.0,68.4,0.7707142857142857
401,p13,REFLEX,rabbit,12.5,16.4,22.4,30.1,35.8,41.9,116.6,0.7989047619047619
402,p14,REFLEX,rabbit,3.3,4.9,10.1,14.7,19.7,25.1,28.5,0.9139047619047619
403,p15,REFLEX,rabbit,4.8,67.2,83.0,92.8,125.3,133.3,139.3,0.45366666666666655
404,p16,REFLEX,rabbit,4.5,6.5,11.0,17.7,21.8,25.2,28.8,0.9058571428571429
405,p17,REFLEX,rabbit,4.2,6.9,11.6,20.1,24.9,29.2,32.6,0.8941904761904762
434,p1,REFLEX,swan,5.0,10.9,29.0,34.2,39.6,88.8,94.3,0.7598571428571428
435,p2,REFLEX,swan,4.4,8.3,11.4,16.7,22.7,30.2,37.7,0.8949047619047619
436,p3,REFLEX,swan,6.8,30.3,47.9,65.5,70.6,74.1,79.2,0.6843809523809524
437,p4,REFLEX,swan,11.6,96.9,150.0,150.0,150.0,150.0,150.0,0.2593333333333333
438,p5,REFLEX,swan,5.6,11.2,22.1,30.1,36.8,43.2,47.4,0.8381904761904762
439,p6,REFLEX,swan,4.7,15.3,25.4,33.0,37.4,41.7,45.1,0.8307619047619048
440,p7,REFLEX,swan,4.0,13.0,17.6,21.4,26.6,30.4,34.4,0.877904761904762
441,p8,REFLEX,swan,6.4,17.1,22.8,29.0,36.7,44.8,52.0,0.828952380952381
442,p11,REFLEX,swan,26.2,31.2,37.7,43.3,49.3,54.0,57.6,0.7548571428571429
443,p13,REFLEX,swan,9.7,17.6,23.8,39.6,49.8,58.4,63.9,0.7847619047619048
444,p14,REFLEX,swan,6.5,11.1,16.0,19.0,25.3,28.2,30.1,0.8877142857142857
445,p15,REFLEX,swan,14.8,21.0,33.0,41.1,51.2,61.9,71.8,0.7604761904761905
446,p16,REFLEX,swan,3.2,5.0,10.2,13.5,17.4,21.5,24.1,0.9226190476190477
447,p17,REFLEX,swan,5.3,10.4,15.6,20.5,25.8,31.5,35.8,0.8815714285714286
476,p1,REFLEX,turtle,2.7,11.7,21.6,30.3,35.2,38.7,42.1,0.8477142857142856
477,p2,REFLEX,turtle,4.0,7.0,10.5,26.4,34.6,42.8,45.6,0.8608571428571429
478,p3,REFLEX,turtle,4.4,7.8,12.1,16.7,19.6,26.7,36.4,0.9016190476190477
479,p4,REFLEX,turtle,32.6,54.2,150.0,150.0,150.0,150.0,150.0,0.29000000000000004
480,p5,REFLEX,turtle,5.5,15.3,20.2,24.4,28.6,31.5,39.9,0.8640952380952381
481,p6,REFLEX,turtle,7.0,13.7,19.4,25.8,30.5,35.9,44.8,0.856
482,p7,REFLEX,turtle,3.6,5.9,10.5,16.3,23.3,29.1,31.3,0.9023333333333333
483,p8,REFLEX,turtle,5.1,15.7,17.8,28.7,35.6,44.1,48.0,0.8395714285714286
484,p11,REFLEX,turtle,5.8,20.7,22.5,26.1,29.0,35.0,38.4,0.852
485,p13,REFLEX,turtle,4.9,43.4,49.1,53.8,80.8,90.4,96.9,0.6491428571428572
486,p14,REFLEX,turtle,3.6,8.4,10.0,13.6,24.7,30.3,32.3,0.900047619047619
487,p15,REFLEX,turtle,6.9,52.8,65.2,76.2,89.7,102.7,110.5,0.5759047619047619
488,p16,REFLEX,turtle,6.0,7.8,11.0,12.9,18.4,20.8,22.4,0.918952380952381
489,p17,REFLEX,turtle,5.7,10.0,14.4,16.6,20.5,28.6,30.8,0.8968095238095238
